product_link,title,brand,price,discount,avg_rating,total_ratings,availability,category
https://www.amazon.com/BAMBOO-COOL-Undershirt-Moisture-Wicking-T-Shirts/dp/B0BXF1F34J,"BAMBOO COOL Men's Undershirt Moisture-Wicking T-Shirts Stretch Crewneck Soft Tees for Men,3 Pack",BAMBOO COOL,$29.99,0.3,4.5,2022,In Stock,shirts
https://www.amazon.com/Amazon-Essentials-Regular-Fit-Long-Sleeve-Flannel/dp/B073XNTSQ5,Amazon Essentials Men's Long-Sleeve Flannel Shirt - Discontinued Colors,Amazon Essentials,$12.45,0.29,4.6,57799,In Stock,shirts
https://www.amazon.com/Sailwind-Henley-Sleeve-T-Shirt-Cotton/dp/B0CGR9XYVT,Sailwind Mens Henley Long/Short Sleeve T-Shirt Cotton Casual Shirt,Sailwind,$19.99,0.23,4.3,1677,,shirts
https://www.amazon.com/Dokotoo-Womens-Spring-Blouses-Fashion/dp/B08QJRXRJF,Dokotoo Womens Basic Casual V Neck Plaid Print Cuffed Long Sleeve Work Tops Blouses Shirts S-3XL,Dokotoo,$13.99,0.46,4.2,6300,,shirts
https://www.amazon.com/Amazon-Essentials-Regular-Fit-Short-Sleeve-XX-Large/dp/B07JJJ6GR7,"Amazon Essentials Men's Short-Sleeve V-Neck T-Shirts, Pack of 2",Amazon Essentials,$12.53,0.28,4.4,32894,In Stock,shirts
https://www.amazon.com/Trendy-Queen-Clothing-Fashion-Clothes/dp/B0D4TSKBDH,Trendy Queen Womens Long Sleeve Tops Going Out Top Trendy Cute Shirt Y2k Clothes Fashion Clothing Fall Outfits 2025,Trendy Queen,$7.99,0.2,4.3,532,,shirts
https://www.amazon.com/AUTOMET-Fashion-Sweaters-Clothes-Outfits/dp/B0F4DHPR7L,AUTOMET Womens Lace Long Sleeve Shirt Fall Top Fashion Dreesy Casual Tunic Sweaters Mesh Clothes Trendy Work Cute Outfits,AUTOMET,$9.99,0.23,4.3,684,,shirts
https://www.amazon.com/AUTOMET-Womens-Outfits-Fashion-Clothes/dp/B0D4TZYTD2,AUTOMET Womens Long Sleeve Shirts Square Neck Tops Ribbed Knit Basic Teen Girls Crop Tops Fall Outfits Fashion Clothes 2025,AUTOMET,$8.54,0.43,4.5,1416,In Stock,shirts
https://www.amazon.com/AUTOMET-Tshirts-Sweaters-Outfits-Blouses/dp/B0F93L6PG7,AUTOMET Womens Long Sleeve Tshirts Casual Tunic Work Tops Fall Plus Size Sweaters Date Night Outfits 2025 Dressy Blouses,AUTOMET,$11.99,0.33,4.3,977,In Stock,shirts
https://www.amazon.com/Alimens-Gentle-Oxford-Button-Collar/dp/B0BKWJ1KY2,Alimens & Gentle Mens Solid Oxford Shirt Long Sleeve Dress Shirt Work Casual Button Down Shirts with Pocket,Alimens & Gentle,$18.39,0.2,4.4,7425,,shirts
https://www.amazon.com/Amazon-Essentials-Regular-Fit-Long-Sleeve-XX-Large/dp/B06XWNVSJ4,Amazon Essentials Mens Regular-Fit Long-Sleeve Casual Poplin Shirt,Amazon Essentials,$11.95,0.41,4.4,34490,In Stock,shirts
https://www.amazon.com/Under-Armour-Standard-Short-Sleeve-T-Shirt/dp/B09JND2VY6,Under Armour Men's Tech 2.0 Short-Sleeve T-Shirt,Under Armour,$18.75,0.25,4.6,61638,In Stock,shirts
https://www.amazon.com/Womens-Casual-Basic-Sleeve-Shirts/dp/B0BW2XQCQQ,Abardsion Women's Casual Basic Going Out Crop Tops Slim Fit Short Sleeve Crew Neck Tight T Shirts 2025,Abardsion,$8.46,0.15,4.4,5506,In Stock,shirts
https://www.amazon.com/Wicked-Movie-Logo-Green-T-Shirt/dp/B0DPGSNLLD,Wicked Movie W Logo Green Goes Good With Pink T-Shirt,Wicked,$16.99,0.15,,0,In Stock,shirts
https://www.amazon.com/Amazon-Essentials-Slim-Fit-Short-Sleeve-Burgundy/dp/B0FF5DB9SM,Amazon Essentials (Demi's Pick) Women's Slim-Fit Stretch Rib Short-Sleeve Tee,Amazon Essentials,$14.90,0.0,4.4,64,In Stock,shirts
https://www.amazon.com/Zeagoo-Pleated-Blouses-Business-Tshirts/dp/B0FCFXN62L,Zeagoo Womens Long Sleeve Tops 2025 V Neck Pleated Shirts Dressy Casual Tunic Blouses Loose Fit Fall Fashion Clothes,Zeagoo,$11.24,0.44,4.4,638,,shirts
https://www.amazon.com/Flygo-Oversized-Shirts-Streetwear-ArmyGreen/dp/B0CZL4QWNX,Flygo 3 Pack Men Oversized T Shirts Acid Washed Unisex Tee Loose Fit Short Sleeve Casual Streetwear Baggy Basic Tops,Flygo,N/A,0.0,4.4,414,,shirts
https://www.amazon.com/AUTOMET-Sweaters-Regular-Business-Blouses/dp/B0DNXFJXKN,AUTOMET Women Textured Shirts Fall Sweaters Loose Fit Short Sleeve Tunic Tops 2025 Dressy Casual Business Blouses,AUTOMET,$9.99,0.39,4.4,2898,,shirts
https://www.amazon.com/AUTOMET-Sweaters-Fashion-Business-Blouses/dp/B0DXK5B2DT,AUTOMET Women Tops Summer Sweaters Short Sleeve Shirts 2025 Spring Vacation Fashion Dressy Casual Business V Neck Blouses,AUTOMET,$9.99,0.33,4.4,1250,,shirts
https://www.amazon.com/Saloogoe-Sweatshirt-Weight-Clothes-Fashion/dp/B0D31LTQC7,Saloogoe Sweatshirts for Women Crewneck Long Sleeve Loose Fit Tops Color Block Ribbed Trim Fashion 2025,Saloogoe,$13.99,0.3,4.3,3256,,shirts
https://www.amazon.com/Trendy-Queen-Oversized-Crewneck-CamoBlack/dp/B0FH6SPJVR,Trendy Queen Womens Oversized Long Sleeve T Shirts 2025 Basic Crewneck Tee Fall Tops Casual Workout Y2K Clothes,Trendy Queen,$16.99,0.35,4.3,2545,In Stock,shirts
https://www.amazon.com/Under-Armour-Graphite-Black-X-Large/dp/B01GH5KR8Q,Under Armour Men's Tech Golf Polo,Under Armour,$20.99,0.48,4.7,66368,In Stock,shirts
https://www.amazon.com/Zeagoo-Casual-Striped-Printed-Clothes/dp/B0DY7F3X7J,Zeagoo Womens Summer Tops Short Sleeve Casual Shirts Floral Tee Trendy 2025 Basics V Neck Plain Tshirt,Zeagoo,$9.99,0.33,4.3,2793,,shirts
https://www.amazon.com/Trendy-Queen-Womens-Sleeve-Clothes/dp/B0CQSQYKV9,Trendy Queen Tshirts Shirts for Women Double Lined Going Out Crop Tops 2025 Spring Summer Workout Y2k Clothes Beach Fashion,Trendy Queen,$9.99,0.23,4.4,2176,In Stock,shirts
https://www.amazon.com/ANRABESS-Business-T-Shirts-Blouses-Vacation/dp/B0F7X4JZHF,ANRABESS Women's Long Sleeve Shirts 2025 Fall Henley Business Casual Tops Cute T-Shirts Work Blouses Outfits Vacation Clothes,ANRABESS,$8.39,0.3,4.5,489,In Stock,shirts
https://www.amazon.com/COOFANDY-Button-Sleeve-Casual-Wrinkle/dp/B0CQLRTRVM,COOFANDY Men's Button Down Shirts Short Sleeve Casual Shirts Summer Beach Shirts Vacation Wedding Shirts with Pocket,COOFANDY,$19.99,0.2,4.4,2539,In Stock,shirts
https://www.amazon.com/COOFANDY-Casual-Sleeve-Button-Summer/dp/B0CJV1RLCH,COOFANDY Men's Cuban Guayabera Shirt Short Sleeve Button Down Shirts Casual Summer Beach Linen Shirts,COOFANDY,$22.39,0.38,4.4,4183,In Stock,shirts
https://www.amazon.com/Trendy-Queen-Fashion-Outfits-Clothes/dp/B0DCZV3MG2,Trendy Queen Women's Long Sleeve Shirts Slim Fit Stretchy Color Block Slightly Cropped Tops,Trendy Queen,$11.39,0.43,4.3,1335,,shirts
https://www.amazon.com/Dokotoo-Sweatshirt-Business-Oversized-Crewneck/dp/B0D49CMWKY,Dokotoo Long Sleeve Tops Oversized 2025 Trendy Round Crew Neck Casual Color Block Womens Shirts Blouses,Dokotoo,$16.99,0.32,4.3,1822,In Stock,shirts
https://www.amazon.com/COOFANDY-Casual-Lightweight-Athletic-Classic/dp/B0CW39BXTQ,COOFANDY Mens Short Sleeve Casual Button Down Shirts Summer Untucked Dress Shirts with Pocket,COOFANDY,$16.98,0.32,4.3,2796,In Stock,shirts
https://www.amazon.com/Van-Heusen-Wrinkle-Turquoise-X-Large/dp/B079ZPDXMG,"Van Heusen Men's Wrinkle Free Long Sleeve Button Down Shirt, Slim Fit, Comfortable Stretch Fabric",Van Heusen,$18.68,0.15,4.5,2504,In Stock,shirts
https://www.amazon.com/AUTOMET-Womens-Sleeve-Crewneck-Underscrub/dp/B09SNTBDKQ,AUTOMET Womens Tops Shorts Sleeve Shirts for Summer Spring Beach Vacation Plus Size Oversized Casual Tee for Teen Girls 2025,AUTOMET,$6.39,0.2,4.5,4840,In Stock,shirts
https://www.amazon.com/AUTOMET-Oversized-Fashion-Tshirts-Workout/dp/B0FF44JZGY,AUTOMET Women's Oversized Long Sleeve Shirts Fall Trendy Tops Fashion Gym Baggy Basic Casual Loose Fit Workout Y2k Clothes,AUTOMET,$8.99,0.4,4.4,318,In Stock,shirts
https://www.amazon.com/Under-Armour-Sleeve-T-Shirt-Graphite/dp/B0785VMVF4,Under Armour UA Tech™ 2.0,Under Armour,N/A,0.0,4.6,46486,Unknown,shirts
https://www.amazon.com/Van-Heusen-Wrinkle-Poplin-2X-Large/dp/B07B32VQRK,Van Heusen Men's Wrinkle Free Oxford Bengal Stripe Shirt,Van Heusen,$17.22,0.15,4.5,5220,In Stock,shirts
https://www.amazon.com/AUTOMET-Womens-Fashion-Outfits-Clothes/dp/B0D6BCTR41,AUTOMET Womens Long Sleeve Crewneck Shirts Fall Winter Casual Work Tops Loose Fit Clothes Trendy Basic Outfits 2025,AUTOMET,$9.99,0.33,4.4,1295,,shirts
https://www.amazon.com/Dokotoo-Clothes-Business-Clothing-Elegantes/dp/B0FB3DNQ93,Dokotoo Women's Shirts Lightweight 2025 Summer Fall Fashion 3/4 Length Sleeve T Shirts Casual Tops Basic Blouses,Dokotoo,$7.64,0.49,4.3,368,,shirts
https://www.amazon.com/Simple-Joys-Carters-3-Pack-Stripes/dp/B083X7BTRV,Simple Joys by Carter's Boys 3-Pack Long Sleeve Shirts,Simple Joys by Carter's,$18.74,0.25,4.8,24253,In Stock,shirts
https://www.amazon.com/Nautica-Classic-Sleeve-Tipped-Collar/dp/B07BN51SSY,Nautica Men's Classic Fit Short Sleeve Dual Tipped Collar Polo Shirt,Nautica,$28.95,0.51,4.5,14680,In Stock,shirts
https://www.amazon.com/Pack-Stretch-Athletic-Essentials-Basketball/dp/B094682546,Real Essentials 3 Pack: Men’s Big & Tall Tech Stretch Long-Sleeve & Short-Sleeve Dry-Fit T-Shirt (3XT-5XT),Real Essentials,$29.74,0.15,4.5,8123,In Stock,shirts
https://www.amazon.com/Trendy-Queen-Womens-Sleeve-Clothes/dp/B0D5HNB8QY,Trendy Queen Women's Boat Neck Tops Long Sleeve Shirts Casual Fitted Tee Shirts Solid Color Fall Basic Clothes 2025,Trendy Queen,$9.99,0.17,4.3,1149,,shirts
